subjects,n3_1,n3_2,n3_3,n3_4,n3_5,n3_6,n3_7,n3_8,n3_9,n3_10,n3_11,n3_12,n6_1,n6_2,n6_3,n6_4,n6_5,n6_6,n6_7,n6_8,n6_9,n6_10,n6_11,n6_12,test3_1,test3_2,test3_3,test3_4,test3_5,test3_6,test3_7,test3_8,test3_9,test3_10,test3_11,test3_12,test6_1,test6_2,test6_3,test6_4,test6_5,test6_6,test6_7,test6_8,test6_9,test6_10,test6_11,test6_12
6f37fb,0.5833333333,1,0.5833333333,0.75,1,0.75,0.8333333333,0.8333333333,0.8333333333,0.9166666667,1,0.8333333333,0.3333333333,0.4444444444,0.6111111111,0.6111111111,0.7222222222,0.8333333333,0.7222222222,0.8333333333,0.7777777778,0.8888888889,0.8888888889,0.8888888889,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889
b3beec,0.5,0.75,0.8333333333,0.9166666667,1,1,1,0.8333333333,0.8333333333,1,1,0.8333333333,0.4444444444,0.3888888889,0.4444444444,0.4444444444,0.5,0.6666666667,0.6666666667,0.5555555556,0.6111111111,0.6111111111,0.6666666667,0.7222222222,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889
ae7326,0.3333333333,0.5,0.5833333333,0.5833333333,0.5833333333,0.6666666667,0.6666666667,0.5833333333,0.5833333333,0.8333333333,0.5833333333,0.9166666667,0.3333333333,0.5555555556,0.6666666667,0.3888888889,0.7777777778,0.5555555556,0.6666666667,0.6111111111,0.6111111111,0.9444444444,0.9444444444,0.8333333333,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556
899eec,0.5,0.5833333333,0.8333333333,0.9166666667,0.75,0.8333333333,0.9166666667,0.9166666667,0.75,0.9166666667,0.75,1,0.5,0.6666666667,0.5555555556,0.7222222222,0.7222222222,0.7777777778,0.8888888889,0.7777777778,0.9444444444,0.7222222222,0.9444444444,0.9444444444,1,1,1,1,1,1,1,1,1,1,1,1,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222
bf10fb,0.5833333333,0.5833333333,0.8333333333,0.75,1,0.8333333333,1,0.9166666667,1,0.9166666667,0.9166666667,0.9166666667,0.1666666667,0.4444444444,0.3888888889,0.3888888889,0.4444444444,0.4444444444,0.5,0.4444444444,0.3888888889,0.6111111111,0.3888888889,0.5555555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
e2233f,0.25,0.5833333333,0.6666666667,0.5833333333,0.6666666667,0.5833333333,0.6666666667,0.75,0.8333333333,0.75,0.8333333333,0.8333333333,0.2777777778,0.3333333333,0.3888888889,0.3888888889,0.4444444444,0.3888888889,0.3888888889,0.5555555556,0.6111111111,0.3888888889,0.4444444444,0.6111111111,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556
6c41ae,0.1666666667,0.5,0.75,0.6666666667,0.9166666667,0.8333333333,0.8333333333,0.8333333333,0.9166666667,0.9166666667,0.8333333333,0.6666666667,0.2222222222,0.2777777778,0.3333333333,0.3333333333,0.4444444444,0.5555555556,0.5555555556,0.7222222222,0.7777777778,0.6666666667,0.6111111111,0.5555555556,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778
42210f,0.5833333333,0.6666666667,0.9166666667,0.9166666667,0.8333333333,0.9166666667,0.8333333333,0.9166666667,0.9166666667,0.8333333333,0.9166666667,0.9166666667,0.2777777778,0.5,0.6666666667,0.6666666667,0.7222222222,0.8333333333,0.8333333333,0.7777777778,0.6666666667,0.8333333333,0.7777777778,0.8333333333,1,1,1,1,1,1,1,1,1,1,1,1,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778
505f9b,0.1666666667,0.4166666667,0.4166666667,0.9166666667,0.6666666667,0.8333333333,1,0.6666666667,0.8333333333,0.9166666667,0.8333333333,0.8333333333,0.3888888889,0.2222222222,0.4444444444,0.1666666667,0.4444444444,0.2777777778,0.3888888889,0.3888888889,0.3333333333,0.3333333333,0.5,0.5,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111
3d45e7,0.25,0.3333333333,0.6666666667,0.75,0.75,0.5833333333,0.9166666667,0.8333333333,0.5,0.8333333333,0.6666666667,1,0.3333333333,0.4444444444,0.6666666667,0.7222222222,0.5555555556,0.7222222222,0.6666666667,0.6111111111,0.6666666667,0.6666666667,0.7777777778,0.6111111111,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778
5623af,0.5,0.6666666667,0.75,1,1,0.9166666667,1,0.75,0.8333333333,1,0.9166666667,1,0.3888888889,0.3333333333,0.5555555556,0.6666666667,0.6111111111,0.4444444444,0.7777777778,0.6666666667,0.6666666667,0.4444444444,0.6666666667,0.7222222222,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556
2b5be2,0.6666666667,0.8333333333,0.9166666667,1,0.9166666667,0.9166666667,0.9166666667,1,1,1,0.9166666667,0.9166666667,0.2222222222,0.3333333333,0.5555555556,0.7777777778,0.7222222222,0.8333333333,0.8333333333,0.7777777778,0.8888888889,0.9444444444,0.8333333333,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333
782772,0.4166666667,0.5,0.75,0.5,0.8333333333,0.8333333333,0.75,0.9166666667,1,0.9166666667,0.9166666667,0.8333333333,0.4444444444,0.5,0.3333333333,0.2222222222,0.5,0.5555555556,0.5555555556,0.6666666667,0.6666666667,0.5555555556,0.5,0.5555555556,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
44958d,0.5,0.3333333333,0.5,0.5833333333,0.3333333333,0.4166666667,0.4166666667,0.5833333333,0.75,0.75,0.5,0.4166666667,0.2777777778,0.3333333333,0.2777777778,0.3333333333,0.1666666667,0.3888888889,0.4444444444,0.2222222222,0.3333333333,0.1111111111,0.1666666667,0.3333333333,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667
b4494f,0.4166666667,0.75,0.6666666667,0.8333333333,0.75,0.75,0.5833333333,0.6666666667,0.6666666667,0.8333333333,0.6666666667,0.75,0.3888888889,0.5,0.5555555556,0.6666666667,0.4444444444,0.2777777778,0.6666666667,0.5555555556,0.5555555556,0.8333333333,0.6666666667,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333
d4af05,0.5833333333,0.8333333333,0.8333333333,0.8333333333,0.9166666667,0.8333333333,1,0.9166666667,0.8333333333,0.8333333333,0.9166666667,0.9166666667,0.2222222222,0.5,0.7777777778,0.7222222222,0.7222222222,0.7777777778,0.8333333333,0.7777777778,0.8888888889,1,0.9444444444,0.9444444444,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111
150278,0.5,0.4166666667,0.6666666667,0.75,0.75,0.8333333333,0.75,0.6666666667,0.75,0.75,0.75,0.8333333333,0.3888888889,0.4444444444,0.3333333333,0.3888888889,0.5,0.5555555556,0.6666666667,0.5,0.4444444444,0.6666666667,0.7222222222,0.6666666667,1,1,1,1,1,1,1,1,1,1,1,1,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667
9dc05c,0.5,0.75,0.75,0.9166666667,0.8333333333,0.8333333333,0.75,0.75,0.8333333333,0.8333333333,0.6666666667,0.8333333333,0.4444444444,0.6111111111,0.3888888889,0.6111111111,0.5555555556,0.7222222222,0.5555555556,0.6111111111,0.7777777778,0.6666666667,0.7777777778,0.8333333333,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778
0023c4,0.4166666667,0.5,0.5,0.9166666667,0.9166666667,0.75,0.9166666667,1,1,0.9166666667,1,1,0.1666666667,0.3333333333,0.5,0.4444444444,0.5,0.5,0.7777777778,0.5555555556,0.6666666667,0.5,0.6111111111,0.5555555556,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222
4cb81b,0.4166666667,0.5833333333,0.8333333333,0.8333333333,1,1,1,0.8333333333,1,0.8333333333,0.9166666667,1,0.3333333333,0.6666666667,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7777777778,0.7777777778,0.8333333333,0.8333333333,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
26668b,0.3333333333,0.4166666667,0.5833333333,0.75,0.6666666667,0.75,1,1,0.9166666667,1,1,0.75,0.3888888889,0.2222222222,0.3333333333,0.3333333333,0.2777777778,0.5,0.4444444444,0.6666666667,0.4444444444,0.5,0.6666666667,0.5,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778
536124,0.3333333333,0.3333333333,0.9166666667,0.9166666667,1,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.75,1,0.8333333333,0.2777777778,0.7777777778,0.7777777778,0.6666666667,0.6111111111,0.5555555556,0.5555555556,0.8333333333,0.6111111111,0.7777777778,0.6666666667,0.7222222222,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667
27be3b,0.25,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5833333333,0.5,0.3333333333,0.6666666667,0.4166666667,0.5,0.3333333333,0.2222222222,0.2777777778,0.3888888889,0.1666666667,0.3333333333,0.3333333333,0.3888888889,0.3333333333,0.4444444444,0.2777777778,0.4444444444,0.3888888889,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778
5cd9b3,0.5833333333,0.75,0.8333333333,0.75,0.6666666667,0.8333333333,0.9166666667,0.9166666667,0.9166666667,0.9166666667,1,1,0.5,0.4444444444,0.6111111111,0.6111111111,0.8333333333,0.6111111111,0.8888888889,0.8333333333,0.7777777778,0.8888888889,0.8333333333,0.7777777778,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556,0.6805555556
aa7ea9,0.25,0.3333333333,0.4166666667,0.9166666667,0.8333333333,0.9166666667,0.9166666667,0.75,0.8333333333,0.8333333333,1,1,0.3888888889,0.6111111111,0.5555555556,0.5555555556,0.7777777778,0.8333333333,0.7777777778,0.7777777778,0.8888888889,0.9444444444,0.8888888889,0.8333333333,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222
9a5023,0.75,0.75,0.75,0.75,0.9166666667,0.75,0.75,0.8333333333,0.75,0.8333333333,0.9166666667,0.9166666667,0.3333333333,0.5,0.5555555556,0.7777777778,0.7777777778,0.7777777778,0.8333333333,0.8888888889,0.8888888889,0.8888888889,0.8888888889,1,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889
f6ac91,0.5,0.3333333333,0.5833333333,0.6666666667,0.5833333333,0.6666666667,0.6666666667,0.8333333333,0.9166666667,0.75,0.5,0.8333333333,0.2777777778,0.3333333333,0.2777777778,0.4444444444,0.6111111111,0.8333333333,0.8888888889,0.8888888889,0.8333333333,0.7222222222,0.8333333333,0.7777777778,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111,0.7361111111
9a77f6,0.4166666667,0.5,0.6666666667,0.5833333333,0.8333333333,0.75,0.75,0.75,1,1,0.8333333333,0.9166666667,0.2777777778,0.5,0.5555555556,0.6111111111,0.7222222222,0.7222222222,0.8333333333,0.8333333333,0.8333333333,0.6111111111,0.7222222222,0.7777777778,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.9444444444,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
6cd711,0.4166666667,0.3333333333,0.8333333333,0.75,0.6666666667,0.9166666667,0.9166666667,1,1,1,1,1,0.1666666667,0.3333333333,0.3333333333,0.2777777778,0.4444444444,0.6111111111,0.6111111111,0.4444444444,0.5,0.6666666667,0.5,0.7777777778,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444,0.4444444444
567f54,0.8333333333,0.5,0.8333333333,0.75,0.6666666667,0.75,1,1,0.75,1,0.9166666667,0.8333333333,0.2777777778,0.2222222222,0.3333333333,0.3888888889,0.3888888889,0.3888888889,0.3333333333,0.5,0.3888888889,0.5555555556,0.5,0.5,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667
67c062,0.1666666667,0.3333333333,0.5,0.5,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.5833333333,0.6666666667,0.9166666667,0.75,0.4444444444,0.2777777778,0.2222222222,0.3333333333,0.2777777778,0.5555555556,0.6666666667,0.6111111111,0.5555555556,0.2777777778,0.3888888889,0.3888888889,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111
6ed5d3,0.5,0.5833333333,0.8333333333,0.75,0.8333333333,0.9166666667,1,0.8333333333,0.9166666667,0.9166666667,1,0.9166666667,0.3333333333,0.5,0.5555555556,0.4444444444,0.3333333333,0.5,0.6666666667,0.6666666667,0.5555555556,0.5555555556,0.6666666667,0.6666666667,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556,0.5555555556
77a5d0,0.5,0.5833333333,0.5833333333,0.75,0.8333333333,0.8333333333,1,0.9166666667,0.5833333333,0.75,0.9166666667,0.8333333333,0.5,0.5555555556,0.2222222222,0.6111111111,0.5,0.4444444444,0.6111111111,0.6666666667,0.8333333333,0.5555555556,0.7222222222,0.6111111111,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667
02920d,0.5833333333,0.5,0.6666666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.8333333333,1,0.3333333333,0.5,0.5,0.6111111111,0.6666666667,0.7222222222,0.7222222222,0.6666666667,0.7777777778,0.6111111111,0.8888888889,0.8888888889,1,1,1,1,1,1,1,1,1,1,1,1,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667
7bf79c,0.5,0.6666666667,0.3333333333,0.75,0.9166666667,0.9166666667,0.8333333333,1,0.9166666667,0.8333333333,1,0.9166666667,0.2222222222,0.4444444444,0.3888888889,0.5,0.5,0.5555555556,0.5555555556,0.5555555556,0.7222222222,0.7777777778,0.7222222222,0.4444444444,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5277777778,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889,0.5138888889
3ae3cc,0.5,0.5,0.5833333333,0.6666666667,0.8333333333,0.6666666667,0.6666666667,0.9166666667,0.8333333333,0.75,0.8333333333,0.8333333333,0.3888888889,0.3888888889,0.4444444444,0.5555555556,0.2777777778,0.5555555556,0.6666666667,0.5,0.5,0.6111111111,0.6111111111,0.6111111111,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444,0.5694444444
6720f9,0.5,0.75,0.6666666667,0.5833333333,0.8333333333,0.9166666667,0.9166666667,0.8333333333,0.8333333333,0.9166666667,0.9166666667,0.8333333333,0.3888888889,0.5,0.4444444444,0.2777777778,0.6111111111,0.2777777778,0.5555555556,0.5,0.5,0.7222222222,0.6666666667,0.6666666667,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889
aa8941,0.5,0.5833333333,0.6666666667,0.75,0.75,0.8333333333,0.75,1,0.8333333333,0.8333333333,1,0.9166666667,0.3333333333,0.2777777778,0.3888888889,0.5555555556,0.5555555556,0.5,0.3888888889,0.4444444444,0.3333333333,0.6666666667,0.5555555556,0.7777777778,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333
2f7385,0.4166666667,0.4166666667,0.8333333333,0.5,0.5,0.6666666667,0.5833333333,0.75,0.75,0.6666666667,0.75,0.8333333333,0.3888888889,0.6666666667,0.3888888889,0.4444444444,0.3888888889,0.3333333333,0.6666666667,0.4444444444,0.6111111111,0.4444444444,0.5,0.8333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
ae3463,0.5833333333,0.6666666667,0.75,0.75,0.8333333333,0.8333333333,0.8333333333,1,1,1,0.8333333333,1,0.3888888889,0.3888888889,0.6111111111,0.5,0.6111111111,0.5555555556,0.7222222222,0.5555555556,0.6666666667,0.7222222222,0.6666666667,0.9444444444,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889,0.7638888889
513534,0.5833333333,0.75,0.8333333333,0.8333333333,0.75,0.8333333333,0.8333333333,0.8333333333,1,0.9166666667,0.9166666667,1,0.3333333333,0.4444444444,0.4444444444,0.5555555556,0.5555555556,0.6666666667,0.6666666667,0.7222222222,0.5,0.7777777778,0.6666666667,0.8333333333,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
264198,0.3333333333,0.5833333333,0.5833333333,0.9166666667,0.8333333333,0.8333333333,0.9166666667,0.9166666667,1,0.9166666667,0.9166666667,0.8333333333,0.5555555556,0.5,0.7222222222,0.7222222222,0.7777777778,0.8333333333,0.8888888889,0.9444444444,0.9444444444,0.8888888889,0.8888888889,0.9444444444,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778,0.9027777778
1e52ff,0.3333333333,0.5833333333,0.6666666667,0.5,0.5833333333,0.5,0.5833333333,0.6666666667,0.6666666667,0.5833333333,0.5833333333,0.5833333333,0.3888888889,0.5555555556,0.3888888889,0.2777777778,0.3333333333,0.2777777778,0.3333333333,0.3888888889,0.3888888889,0.3888888889,0.2222222222,0.3888888889,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889,0.2638888889
7dd15b,0.5833333333,0.8333333333,0.6666666667,0.6666666667,0.9166666667,0.6666666667,0.8333333333,0.9166666667,0.9166666667,0.5833333333,0.9166666667,1,0.2777777778,0.2777777778,0.3888888889,0.5555555556,0.6666666667,0.5555555556,0.5,0.2777777778,0.5555555556,0.3888888889,0.4444444444,0.5555555556,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889,0.3888888889
