,0,1,2,3,4,5,6,7,8
52,"[0.31333333 0.37       0.39333333 0.41333333 0.42       0.48333333
 0.44       0.46       0.56666667 0.55       0.58666667 0.58      ]","[0.38       0.345      0.425      0.40833333 0.40833333 0.44
 0.435      0.505      0.51166667 0.525      0.51666667 0.55833333]","          0
0  0.333333
1  0.333333
2  0.000000
3  0.666667","          0
0  0.666667
1  0.000000
2  0.333333
3  0.666667",0.1,4,0.5,0.15,0.5
53,"[0.31666667 0.35666667 0.36666667 0.45666667 0.46666667 0.52
 0.50666667 0.53666667 0.58666667 0.6        0.59       0.60333333]","[0.3        0.32333333 0.39833333 0.37833333 0.40666667 0.44
 0.47333333 0.48833333 0.49       0.50833333 0.52333333 0.53      ]","          0
0  0.666667
1  0.666667
2  0.666667
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0.2,4,0.5,0.15,0.5
54,"[0.33333333 0.39666667 0.37       0.42333333 0.48       0.43
 0.49       0.52333333 0.51666667 0.52333333 0.59666667 0.59      ]","[0.35833333 0.37833333 0.40166667 0.445      0.43833333 0.48166667
 0.465      0.49166667 0.5        0.53166667 0.54166667 0.57833333]","          0
0  1.000000
1  0.666667
2  0.333333
3  0.333333","          0
0  0.666667
1  1.000000
2  0.666667
3  0.666667",0.3,4,0.5,0.15,0.5
55,"[0.33333333 0.38666667 0.39333333 0.4        0.48333333 0.48333333
 0.49666667 0.51333333 0.6        0.53       0.59       0.62      ]","[0.33       0.36166667 0.41       0.415      0.45333333 0.42833333
 0.45166667 0.46833333 0.50333333 0.55166667 0.58333333 0.57333333]","          0
0  0.333333
1  0.666667
2  0.333333
3  0.333333","          0
0  0.666667
1  0.333333
2  0.666667
3  0.666667",0.4,4,0.5,0.15,0.5
56,"[0.32666667 0.38333333 0.37666667 0.38       0.44       0.43333333
 0.45       0.5        0.54666667 0.54666667 0.61666667 0.59666667]","[0.36666667 0.38166667 0.38       0.36833333 0.465      0.43333333
 0.48833333 0.485      0.50333333 0.55333333 0.56       0.55833333]","          0
0  0.000000
1  0.333333
2  1.000000
3  0.333333","          0
0  1.000000
1  0.666667
2  0.333333
3  0.333333",0.5,4,0.5,0.15,0.5
57,"[0.30666667 0.37666667 0.35333333 0.4        0.44666667 0.48333333
 0.48666667 0.48       0.47333333 0.55666667 0.56333333 0.57666667]","[0.31       0.355      0.38       0.38333333 0.41666667 0.40833333
 0.47833333 0.495      0.50666667 0.52       0.53833333 0.59333333]","          0
0  0.666667
1  0.666667
2  1.000000
3  0.333333","          0
0  0.333333
1  0.333333
2  0.666667
3  0.666667",0.1,5,0.5,0.15,0.5
58,"[0.36333333 0.38666667 0.37333333 0.42       0.48666667 0.44333333
 0.46666667 0.53333333 0.52       0.57333333 0.57333333 0.63      ]","[0.32       0.37666667 0.36666667 0.415      0.44833333 0.43666667
 0.46166667 0.49666667 0.50333333 0.53833333 0.54666667 0.57833333]","          0
0  0.666667
1  0.333333
2  0.666667
3  0.333333","          0
0  1.000000
1  1.000000
2  0.000000
3  0.333333",0.2,5,0.5,0.15,0.5
59,"[0.32666667 0.35       0.42666667 0.45666667 0.46666667 0.46333333
 0.46333333 0.52       0.51       0.62       0.62666667 0.62666667]","[0.32166667 0.38       0.40333333 0.37666667 0.41       0.43833333
 0.47       0.505      0.51166667 0.52333333 0.53       0.54833333]","          0
0  0.333333
1  0.666667
2  0.666667
3  0.666667","          0
0  0.000000
1  0.333333
2  0.666667
3  0.333333",0.3,5,0.5,0.15,0.5
60,"[0.31333333 0.37666667 0.42       0.41       0.49       0.48333333
 0.50333333 0.52333333 0.53       0.54666667 0.52333333 0.58333333]","[0.345      0.355      0.38       0.42333333 0.42333333 0.42833333
 0.445      0.46833333 0.52833333 0.505      0.54166667 0.555     ]","          0
0  0.666667
1  1.000000
2  0.333333
3  0.666667","          0
0  0.000000
1  1.000000
2  0.666667
3  0.666667",0.4,5,0.5,0.15,0.5
61,"[0.35333333 0.36666667 0.41333333 0.47       0.48666667 0.46666667
 0.52666667 0.47333333 0.55333333 0.56       0.55333333 0.58      ]","[0.335      0.34333333 0.38833333 0.38833333 0.42666667 0.46833333
 0.485      0.44666667 0.525      0.54666667 0.56166667 0.59666667]","          0
0  0.333333
1  0.666667
2  0.333333
3  0.666667","          0
0  0.000000
1  0.333333
2  0.666667
3  0.333333",0.5,5,0.5,0.15,0.5
