"model","setSize","model.ID","estimate","estimate.type"
"bias","s3",3383,0.281111111093333,"y-int"
"bias","s3",3383,0.0261904761971429,"slope"
"bias","s3",3384,0.205555555586667,"y-int"
"bias","s3",3384,0.0814285714228571,"slope"
"bias","s3",3385,0.4451111111,"y-int"
"bias","s3",3385,0.0117142857142857,"slope"
"bias","s3",3386,0.24288888888,"y-int"
"bias","s3",3386,0.0407619047628571,"slope"
"bias","s3",3387,0.26644444448,"y-int"
"bias","s3",3387,0.03133333332,"slope"
"bias","s3",3388,0.225999999986667,"y-int"
"bias","s3",3388,0.0692380952371428,"slope"
"bias","s3",3389,0.395777777766667,"y-int"
"bias","s3",3389,0.0243809523857142,"slope"
"bias","s3",3390,0.30422222222,"y-int"
"bias","s3",3390,0.0346666666657143,"slope"
"bias","s3",3391,0.354444444446667,"y-int"
"bias","s3",3391,0.0090476190485714,"slope"
"bias","s3",3392,0.195555555553333,"y-int"
"bias","s3",3392,0.0738095238085714,"slope"
"bias","s3",3393,0.44555555556,"y-int"
"bias","s3",3393,0.0114285714257143,"slope"
"bias","s3",3394,0.277333333333333,"y-int"
"bias","s3",3394,0.0331428571428572,"slope"
"bias","s3",3395,0.254222222213333,"y-int"
"bias","s3",3395,0.0341904761914286,"slope"
"bias","s3",3396,0.208222222253333,"y-int"
"bias","s3",3396,0.0844761904657143,"slope"
"bias","s3",3397,0.466666666693334,"y-int"
"bias","s3",3397,0.0104761904685714,"slope"
"bias","s3",3398,0.29222222224,"y-int"
"bias","s3",3398,0.0433333333314286,"slope"
"bias","s3",3399,0.248222222213333,"y-int"
"bias","s3",3399,0.0330476190485714,"slope"
"bias","s3",3400,0.251777777793333,"y-int"
"bias","s3",3400,0.0817142857114286,"slope"
"bias","s3",3401,0.313333333353333,"y-int"
"bias","s3",3401,0.0309523809514286,"slope"
"bias","s3",3402,0.309111111166667,"y-int"
"bias","s3",3402,0.0248571428428571,"slope"
"bias","s3",3403,0.27933333336,"y-int"
"bias","s3",3403,0.09304761904,"slope"
"bias","s3",3404,0.23577777778,"y-int"
"bias","s3",3404,0.0853333333342857,"slope"
"bias","s3",3405,0.308000000013333,"y-int"
"bias","s3",3405,0.0229523809485714,"slope"
"bias","s3",3406,0.282888888833333,"y-int"
"bias","s3",3406,0.0317142857285714,"slope"
"bias","s3",3407,0.213777777806667,"y-int"
"bias","s3",3407,0.105904761902857,"slope"
"bias","s3",3408,0.234888888913333,"y-int"
"bias","s3",3408,0.0797142857057143,"slope"
"bias","s3",3409,0.298888888886667,"y-int"
"bias","s3",3409,0.0280952380942857,"slope"
"bias","s3",3410,0.37777777772,"y-int"
"bias","s3",3410,0.00666666667999999,"slope"
"bias","s3",3411,0.201555555573333,"y-int"
"bias","s3",3411,0.103523809517143,"slope"
"bias","s3",3412,0.264444444426667,"y-int"
"bias","s3",3412,0.0790476190542857,"slope"
"bias","s3",3413,0.327555555553333,"y-int"
"bias","s3",3413,0.01847619048,"slope"
"bias","s3",3414,0.328444444486667,"y-int"
"bias","s3",3414,0.0226666666514285,"slope"
"bias","s3",3415,0.203111111113333,"y-int"
"bias","s3",3415,0.110380952377143,"slope"
"bias","s3",3416,0.250666666653333,"y-int"
"bias","s3",3416,0.0888571428657143,"slope"
"bias","s3",3417,0.291555555526667,"y-int"
"bias","s3",3417,0.0297142857257143,"slope"
"bias","s3",3418,0.349555555553333,"y-int"
"bias","s3",3418,0.0155238095228571,"slope"
"bias","s3",3419,0.206666666653333,"y-int"
"bias","s3",3419,0.104761904765714,"slope"
"bias","s3",3420,0.265111111113333,"y-int"
"bias","s3",3420,0.0812380952342857,"slope"
"bias","s3",3421,0.28066666666,"y-int"
"bias","s3",3421,0.0298095238114286,"slope"
"bias","s3",3422,0.30911111108,"y-int"
"bias","s3",3422,0.0234285714342857,"slope"
"bias","s3",3423,0.150222222213333,"y-int"
"bias","s3",3423,0.116761904762857,"slope"
"bias","s3",3424,0.236666666653333,"y-int"
"bias","s3",3424,0.0961904761942857,"slope"
"bias","s3",3425,0.313777777793333,"y-int"
"bias","s3",3425,0.0259047618971428,"slope"
"bias","s3",3426,0.324222222186667,"y-int"
"bias","s3",3426,0.0180000000085714,"slope"
"bias","s3",3427,0.19822222226,"y-int"
"bias","s3",3427,0.109238095225714,"slope"
"bias","s3",3428,0.277777777773334,"y-int"
"bias","s3",3428,0.0757142857171428,"slope"
"bias","s3",3429,0.283111111126667,"y-int"
"bias","s3",3429,0.03514285714,"slope"
"bias","s3",3430,0.300222222226667,"y-int"
"bias","s3",3430,0.0319999999971428,"slope"
"bias","s3",3431,0.214222222186667,"y-int"
"bias","s3",3431,0.0994285714371428,"slope"
"bias","s3",3432,0.228444444446667,"y-int"
"bias","s3",3432,0.0893333333342857,"slope"
"bias","s3",3433,0.325111111106667,"y-int"
"bias","s3",3433,0.0202857142885714,"slope"
"bias","s3",3434,0.325777777766667,"y-int"
"bias","s3",3434,0.0191428571428571,"slope"
"bias","s3",3435,0.236666666646667,"y-int"
"bias","s3",3435,0.101428571434286,"slope"
"bias","s3",3436,0.27866666666,"y-int"
"bias","s3",3436,0.0818095238114286,"slope"
"bias","s3",3437,0.334444444466667,"y-int"
"bias","s3",3437,0.0204761904714286,"slope"
"bias","s3",3438,0.28400000002,"y-int"
"bias","s3",3438,0.0326666666657143,"slope"
"bias","s3",3439,0.18666666666,"y-int"
"bias","s3",3439,0.109523809525714,"slope"
"bias","s3",3440,0.231999999986667,"y-int"
"bias","s3",3440,0.0970476190514286,"slope"
"bias","s3",3441,0.364666666673333,"y-int"
"bias","s3",3441,0.0177142857171428,"slope"
"bias","s3",3442,0.294222222213333,"y-int"
"bias","s3",3442,0.0222857142914286,"slope"
"bias","s3",3443,0.21511111114,"y-int"
"bias","s3",3443,0.105047619045714,"slope"
"bias","s3",3444,0.282888888886667,"y-int"
"bias","s3",3444,0.0755238095228572,"slope"
"bias","s3",3445,0.374,"y-int"
"bias","s3",3445,0.0102857142857143,"slope"
"bias","s3",3446,0.28533333334,"y-int"
"bias","s3",3446,0.0303809523742857,"slope"
"bias","s3",3447,0.20444444448,"y-int"
"bias","s3",3447,0.108571428562857,"slope"
"bias","s3",3448,0.2497777778,"y-int"
"bias","s3",3448,0.0846666666571428,"slope"
"bias","s3",3449,0.34355555556,"y-int"
"bias","s3",3449,0.0158095238114286,"slope"
"bias","s3",3450,0.368888888913334,"y-int"
"bias","s3",3450,0.00952380951999997,"slope"
"bias","s3",3451,0.207555555546667,"y-int"
"bias","s3",3451,0.108000000005714,"slope"
"bias","s3",3452,0.237111111093333,"y-int"
"bias","s3",3452,0.0949523809542857,"slope"
"bias","s3",3453,0.330666666706667,"y-int"
"bias","s3",3453,0.0217142857028571,"slope"
"bias","s3",3454,0.312444444426667,"y-int"
"bias","s3",3454,0.0243809523828571,"slope"
"bias","s3",3455,0.230888888926667,"y-int"
"bias","s3",3455,0.100380952368571,"slope"
"bias","s3",3456,0.216444444413333,"y-int"
"bias","s3",3456,0.100380952391429,"slope"
"bias","s3",3457,0.275777777766667,"y-int"
"bias","s3",3457,0.0372380952428571,"slope"
"bias","s3",3458,0.319111111146667,"y-int"
"bias","s3",3458,0.0191428571342857,"slope"
"bias","s3",3459,0.200000000026667,"y-int"
"bias","s3",3459,0.111428571425714,"slope"
"bias","s3",3460,0.2748888889,"y-int"
"bias","s3",3460,0.0744761904714286,"slope"
"bias","s3",3461,0.299777777773334,"y-int"
"bias","s3",3461,0.0241904761885714,"slope"
"bias","s3",3462,0.349111111106667,"y-int"
"bias","s3",3462,0.01676190476,"slope"
"bias","s3",3463,0.20733333334,"y-int"
"bias","s3",3463,0.110285714288571,"slope"
"bias","s3",3464,0.247777777786667,"y-int"
"bias","s3",3464,0.0871428571371429,"slope"
"bias","s3",3465,0.283333333346667,"y-int"
"bias","s3",3465,0.0280952380914285,"slope"
"bias","s3",3466,0.350444444413333,"y-int"
"bias","s3",3466,0.0182857142914286,"slope"
"bias","s3",3467,0.199555555553333,"y-int"
"bias","s3",3467,0.106952380951429,"slope"
"bias","s3",3468,0.288222222253333,"y-int"
"bias","s3",3468,0.07828571428,"slope"
"bias","s3",3469,0.303111111126667,"y-int"
"bias","s3",3469,0.0327619047542857,"slope"
"bias","s3",3470,0.31844444446,"y-int"
"bias","s3",3470,0.0202857142828571,"slope"
"bias","s3",3471,0.2142222222,"y-int"
"bias","s3",3471,0.103714285714286,"slope"
"bias","s3",3472,0.233777777713333,"y-int"
"bias","s3",3472,0.0844761904914286,"slope"
"bias","s3",3473,0.27822222222,"y-int"
"bias","s3",3473,0.0320952380942857,"slope"
"bias","s3",3474,0.306666666666667,"y-int"
"bias","s3",3474,0.0257142857142857,"slope"
"bias","s3",3475,0.233111111113333,"y-int"
"bias","s3",3475,0.09371428572,"slope"
"bias","s3",3476,0.20666666668,"y-int"
"bias","s3",3476,0.0823809523771429,"slope"
"bias","s3",3477,0.334000000013333,"y-int"
"bias","s3",3477,0.01552380952,"slope"
"bias","s3",3478,0.352,"y-int"
"bias","s3",3478,0.0094285714285714,"slope"
"bias","s3",3479,0.2237777778,"y-int"
"bias","s3",3479,0.0944761904714286,"slope"
"bias","s3",3480,0.24911111108,"y-int"
"bias","s3",3480,0.0729523809628572,"slope"
"bias","s3",3481,0.280888888866667,"y-int"
"bias","s3",3481,0.0260952381,"slope"
"bias","s3",3482,0.326444444426667,"y-int"
"bias","s3",3482,0.0089523809542857,"slope"
"bias","s3",3483,0.199777777813333,"y-int"
"bias","s3",3483,0.0965714285628572,"slope"
"bias","s3",3484,0.209999999966667,"y-int"
"bias","s3",3484,0.0804761904857143,"slope"
"bias","s3",3485,0.29399999996,"y-int"
"bias","s3",3485,0.0279047619114285,"slope"
"bias","s3",3486,0.317777777793333,"y-int"
"bias","s3",3486,0.0138095238114286,"slope"
"bias","s3",3487,0.185777777773333,"y-int"
"bias","s3",3487,0.0977142857171429,"slope"
"bias","s3",3488,0.316222222213334,"y-int"
"bias","s3",3488,0.0650476190485714,"slope"
"bias","s3",3489,0.312666666666667,"y-int"
"bias","s3",3489,0.0163809523857142,"slope"
"bias","s3",3490,0.32777777776,"y-int"
"bias","s3",3490,0.0123809523828571,"slope"
"bias","s3",3491,0.183777777753333,"y-int"
"bias","s3",3491,0.09257142858,"slope"
"bias","s3",3492,0.18955555556,"y-int"
"bias","s3",3492,0.0902857142828571,"slope"
"bias","s3",3493,0.318666666706667,"y-int"
"bias","s3",3493,0.0122857142742857,"slope"
"bias","s3",3494,0.28200000004,"y-int"
"bias","s3",3494,0.02657142856,"slope"
"bias","s3",3495,0.20266666666,"y-int"
"bias","s3",3495,0.100666666668571,"slope"
"bias","s3",3496,0.27733333336,"y-int"
"bias","s3",3496,0.07504761904,"slope"
"bias","s3",3497,0.297111111113334,"y-int"
"bias","s3",3497,0.0225714285771428,"slope"
"bias","s3",3498,0.329555555553333,"y-int"
"bias","s3",3498,0.0126666666657143,"slope"
"bias","s3",3499,0.165111111073333,"y-int"
"bias","s3",3499,0.114095238102857,"slope"
"bias","s3",3500,0.269555555566667,"y-int"
"bias","s3",3500,0.0793333333285714,"slope"
"bias","s3",3501,0.370666666706667,"y-int"
"bias","s3",3501,0.00552380951714286,"slope"
"bias","s3",3502,0.322444444466667,"y-int"
"bias","s3",3502,0.0200952380857143,"slope"
"bias","s3",3503,0.17911111108,"y-int"
"bias","s3",3503,0.102000000005714,"slope"
"bias","s3",3504,0.242666666706667,"y-int"
"bias","s3",3504,0.09066666666,"slope"
"bias","s3",3505,0.331333333333333,"y-int"
"bias","s3",3505,0.0134285714285714,"slope"
"bias","s3",3506,0.336888888873333,"y-int"
"bias","s3",3506,0.0139047619028571,"slope"
"bias","s3",3507,0.216222222186667,"y-int"
"bias","s3",3507,0.100761904765714,"slope"
"bias","s3",3508,0.27022222218,"y-int"
"bias","s3",3508,0.0743809523914286,"slope"
"bias","s3",3509,0.293555555546667,"y-int"
"bias","s3",3509,0.0253333333342857,"slope"
"bias","s3",3510,0.286666666693333,"y-int"
"bias","s3",3510,0.0238095237971428,"slope"
"bias","s3",3511,0.224222222253333,"y-int"
"bias","s3",3511,0.09228571428,"slope"
"bias","s3",3512,0.171111111093333,"y-int"
"bias","s3",3512,0.09333333334,"slope"
"bias","s3",3513,0.281777777773333,"y-int"
"bias","s3",3513,0.0236190476171428,"slope"
"bias","s3",3514,0.3637777778,"y-int"
"bias","s3",3514,0.00971428571428573,"slope"
"bias","s3",3515,0.25377777778,"y-int"
