,set3_learn,set6_learn,set3_test,set6_test,bll,alpha,egs,imag,ans,strtg
50,"[0.25       0.34       0.39666667 0.45666667 0.53666667 0.57666667
 0.58666667 0.64       0.64       0.66666667 0.71333333 0.77      ]","[0.335      0.42666667 0.46833333 0.505      0.54833333 0.58666667
 0.66833333 0.69       0.74       0.825      0.83166667 0.855     ]",0.8333333333333333,0.9166666666666666,0.3,0.05,0.3,0.1,0.1,0.3409090909090909
51,"[0.21       0.38666667 0.39666667 0.50666667 0.56666667 0.56
 0.62333333 0.65666667 0.64666667 0.66666667 0.76666667 0.74333333]","[0.30833333 0.38666667 0.48666667 0.56       0.58166667 0.63
 0.71833333 0.72666667 0.78333333 0.84       0.865      0.86833333]",0.8333333333333333,0.9166666666666666,0.3,0.05,0.3,0.1,0.2,0.24242424242424243
52,"[0.24666667 0.34666667 0.42333333 0.45666667 0.54       0.49666667
 0.58333333 0.6        0.67666667 0.64666667 0.71       0.75666667]","[0.33       0.42333333 0.48833333 0.58666667 0.59166667 0.645
 0.69666667 0.77       0.78833333 0.79166667 0.84666667 0.85833333]",1.0,1.0,0.3,0.05,0.3,0.1,0.3,0.3181818181818182
53,"[0.28333333 0.40666667 0.36       0.46333333 0.52666667 0.56
 0.61       0.67666667 0.68666667 0.69       0.73666667 0.79333333]","[0.32333333 0.40833333 0.48       0.50333333 0.63166667 0.64
 0.67833333 0.71166667 0.76166667 0.8        0.80666667 0.82166667]",0.8333333333333334,0.5833333333333334,0.3,0.05,0.3,0.1,0.4,0.36363636363636365
54,"[0.28666667 0.31666667 0.38       0.40666667 0.55       0.53
 0.57666667 0.63666667 0.65       0.70666667 0.71333333 0.76      ]","[0.345      0.38833333 0.45333333 0.51666667 0.56666667 0.61833333
 0.66166667 0.69833333 0.745      0.79       0.84       0.84833333]",0.8333333333333334,1.0,0.3,0.05,0.3,0.1,0.5,0.26515151515151514
55,"[0.24666667 0.36666667 0.42666667 0.5        0.55666667 0.61
 0.62333333 0.71       0.70666667 0.70666667 0.77       0.81333333]","[0.315      0.44666667 0.54666667 0.60833333 0.675      0.715
 0.75833333 0.79       0.85       0.82166667 0.87       0.88666667]",1.0,1.0,0.3,0.05,0.3,0.2,0.1,0.30303030303030304
56,"[0.25       0.35333333 0.44333333 0.46       0.53666667 0.61666667
 0.54666667 0.62       0.65       0.72       0.75666667 0.75666667]","[0.31       0.47       0.54666667 0.59333333 0.67       0.71833333
 0.75666667 0.81666667 0.81833333 0.86833333 0.87833333 0.89666667]",1.0,1.0,0.3,0.05,0.3,0.2,0.2,0.26515151515151514
57,"[0.27666667 0.34666667 0.40666667 0.46333333 0.56       0.58666667
 0.61666667 0.68333333 0.68666667 0.72333333 0.78       0.78666667]","[0.29833333 0.44833333 0.51333333 0.615      0.67333333 0.70833333
 0.78       0.79833333 0.86833333 0.88166667 0.92666667 0.90166667]",0.9166666666666666,1.0,0.3,0.05,0.3,0.2,0.3,0.29545454545454547
58,"[0.31       0.33333333 0.41666667 0.47333333 0.55333333 0.59666667
 0.62666667 0.66333333 0.71       0.73666667 0.74333333 0.83666667]","[0.35166667 0.41666667 0.51333333 0.59666667 0.645      0.68166667
 0.76333333 0.79       0.80166667 0.82666667 0.87166667 0.90166667]",0.7499999999999999,1.0,0.3,0.05,0.3,0.2,0.4,0.29545454545454547
59,"[0.3        0.32666667 0.47666667 0.49666667 0.53       0.56666667
 0.6        0.65333333 0.67666667 0.67666667 0.75666667 0.81666667]","[0.31833333 0.41166667 0.5        0.57833333 0.60666667 0.64833333
 0.695      0.79       0.805      0.81833333 0.865      0.89      ]",0.5833333333333333,0.8333333333333333,0.3,0.05,0.3,0.2,0.5,0.36363636363636365
60,"[0.27       0.35333333 0.46333333 0.54666667 0.51666667 0.61333333
 0.65666667 0.69       0.75333333 0.74666667 0.76333333 0.8       ]","[0.34333333 0.48333333 0.60333333 0.65166667 0.74333333 0.77833333
 0.82       0.83333333 0.88       0.88333333 0.93       0.93      ]",1.0,1.0,0.3,0.05,0.3,0.3,0.1,0.21212121212121213
61,"[0.25333333 0.35666667 0.49666667 0.51       0.53666667 0.61
 0.63666667 0.65       0.72666667 0.75333333 0.79666667 0.82333333]","[0.32       0.455      0.55833333 0.61833333 0.66166667 0.73
 0.80166667 0.81166667 0.85666667 0.855      0.895      0.91333333]",0.8333333333333333,0.9166666666666666,0.3,0.05,0.3,0.3,0.2,0.32575757575757575
62,"[0.27       0.39       0.45666667 0.48666667 0.54       0.57
 0.67       0.72333333 0.73666667 0.76       0.78333333 0.83333333]","[0.31166667 0.47       0.56333333 0.63666667 0.69666667 0.77666667
 0.77833333 0.80666667 0.855      0.87333333 0.905      0.915     ]",0.9166666666666666,0.9166666666666666,0.3,0.05,0.3,0.3,0.3,0.2727272727272727
63,"[0.28       0.39666667 0.47       0.51       0.58666667 0.55333333
 0.7        0.71666667 0.73333333 0.73       0.77333333 0.81      ]","[0.285      0.45333333 0.54333333 0.63333333 0.70833333 0.74833333
 0.775      0.82833333 0.85666667 0.85666667 0.905      0.91      ]",0.9166666666666666,0.6666666666666666,0.3,0.05,0.3,0.3,0.4,0.24242424242424243
64,"[0.24       0.33333333 0.40333333 0.53333333 0.53       0.57
 0.6        0.65333333 0.72666667 0.7        0.76666667 0.77666667]","[0.335      0.46666667 0.55166667 0.61833333 0.7        0.74833333
 0.80166667 0.82       0.83333333 0.86333333 0.88333333 0.91166667]",0.8333333333333333,0.9166666666666666,0.3,0.05,0.3,0.3,0.5,0.23484848484848486
65,"[0.26333333 0.36       0.40666667 0.47666667 0.57666667 0.63
 0.62       0.70333333 0.72666667 0.78666667 0.80666667 0.78333333]","[0.35666667 0.515      0.60333333 0.66       0.74166667 0.795
 0.83       0.84833333 0.855      0.87333333 0.90333333 0.92833333]",0.9166666666666666,1.0,0.3,0.05,0.3,0.4,0.1,0.21212121212121213
66,"[0.30333333 0.44       0.44666667 0.54       0.60333333 0.60666667
 0.65333333 0.71666667 0.75666667 0.76666667 0.84333333 0.78333333]","[0.32333333 0.45666667 0.57       0.62833333 0.68833333 0.72833333
 0.80166667 0.85666667 0.875      0.87166667 0.89166667 0.91      ]",0.5833333333333333,0.9166666666666666,0.3,0.05,0.3,0.4,0.2,0.3409090909090909
67,"[0.3        0.41       0.53333333 0.55666667 0.60666667 0.6
 0.7        0.70666667 0.73       0.74       0.81333333 0.79333333]","[0.35       0.48666667 0.6        0.62666667 0.71       0.78333333
 0.8        0.83666667 0.83       0.885      0.92166667 0.91166667]",0.8333333333333333,0.9166666666666666,0.3,0.05,0.3,0.4,0.3,0.23484848484848486
68,"[0.24666667 0.35333333 0.45666667 0.53666667 0.58       0.6
 0.68333333 0.71666667 0.80333333 0.77666667 0.81666667 0.79333333]","[0.32       0.47833333 0.58166667 0.62333333 0.71       0.73666667
 0.82       0.825      0.84166667 0.88       0.89       0.905     ]",0.7499999999999999,0.9166666666666666,0.3,0.05,0.3,0.4,0.4,0.3787878787878788
