,0,1,2,3,4,5,6,7,8
40,"[0.34666667 0.32       0.35666667 0.43333333 0.42333333 0.47
 0.50333333 0.54       0.55333333 0.54333333 0.58       0.56666667]","[0.33333333 0.36166667 0.36       0.39833333 0.43666667 0.43333333
 0.46833333 0.47666667 0.45333333 0.57666667 0.55833333 0.58333333]","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667","          0
0  0.000000
1  0.666667
2  0.333333
3  0.666667",0.1,4,0.2,0.05,0.3
41,"[0.32666667 0.38       0.39       0.45333333 0.44       0.47
 0.50666667 0.51       0.58333333 0.55333333 0.58       0.60333333]","[0.31333333 0.345      0.38333333 0.43833333 0.405      0.455
 0.455      0.49       0.49166667 0.50166667 0.58833333 0.57666667]","          0
0  0.666667
1  0.333333
2  0.333333
3  0.666667","          0
0  1.000000
1  0.666667
2  0.666667
3  0.000000",0.2,4,0.2,0.05,0.3
42,"[0.35       0.37333333 0.39333333 0.44666667 0.48333333 0.47
 0.45666667 0.48666667 0.51333333 0.54666667 0.59333333 0.57333333]","[0.295      0.35833333 0.37       0.41333333 0.39833333 0.42666667
 0.44       0.50333333 0.52       0.50833333 0.55166667 0.59166667]","          0
0  1.000000
1  0.666667
2  0.666667
3  0.333333","          0
0  1.000000
1  0.666667
2  0.333333
3  0.666667",0.3,4,0.2,0.05,0.3
43,"[0.35666667 0.36333333 0.38666667 0.41       0.42333333 0.47333333
 0.51333333 0.50333333 0.57       0.55333333 0.57666667 0.64333333]","[0.31       0.365      0.38833333 0.40166667 0.43666667 0.45333333
 0.45833333 0.465      0.50166667 0.56166667 0.56166667 0.57833333]","          0
0  0.666667
1  1.000000
2  0.333333
3  1.000000","          0
0  0.333333
1  0.666667
2  0.333333
3  0.333333",0.4,4,0.2,0.05,0.3
44,"[0.30666667 0.35666667 0.39       0.48666667 0.46       0.49
 0.5        0.49       0.54       0.57333333 0.63       0.61666667]","[0.32666667 0.34166667 0.39833333 0.43       0.38166667 0.445
 0.46833333 0.47833333 0.485      0.49166667 0.57       0.56333333]","          0
0  0.666667
1  1.000000
2  1.000000
3  0.000000","          0
0  1.000000
1  0.666667
2  0.666667
3  0.333333",0.5,4,0.2,0.05,0.3
45,"[0.35       0.34333333 0.37666667 0.45333333 0.44333333 0.46333333
 0.46666667 0.46666667 0.50666667 0.53       0.58666667 0.61      ]","[0.37333333 0.375      0.34166667 0.41666667 0.4        0.44
 0.46166667 0.45       0.51       0.505      0.52833333 0.605     ]","          0
0  1.000000
1  0.333333
2  0.333333
3  0.666667","          0
0  0.666667
1  0.000000
2  0.666667
3  0.333333",0.1,5,0.2,0.05,0.3
46,"[0.29666667 0.36333333 0.39666667 0.40666667 0.51       0.50333333
 0.52333333 0.49       0.59       0.57333333 0.59333333 0.58666667]","[0.35833333 0.37166667 0.38       0.41666667 0.41166667 0.46333333
 0.45333333 0.48       0.45666667 0.53666667 0.54666667 0.545     ]","          0
0  0.333333
1  0.333333
2  0.333333
3  1.000000","          0
0  0.000000
1  0.666667
2  1.000000
3  0.666667",0.2,5,0.2,0.05,0.3
47,"[0.32333333 0.32333333 0.4        0.41       0.47       0.48666667
 0.46666667 0.53       0.51       0.58666667 0.57333333 0.64      ]","[0.33333333 0.365      0.37166667 0.39833333 0.40666667 0.42666667
 0.5        0.53666667 0.49166667 0.53166667 0.57166667 0.595     ]","          0
0  0.666667
1  0.666667
2  1.000000
3  0.666667","          0
0  1.000000
1  0.333333
2  0.666667
3  1.000000",0.3,5,0.2,0.05,0.3
48,"[0.34666667 0.36666667 0.36666667 0.41666667 0.46666667 0.47333333
 0.48666667 0.52333333 0.52333333 0.57333333 0.56666667 0.58      ]","[0.34       0.345      0.37833333 0.41833333 0.42166667 0.41166667
 0.5        0.48333333 0.51666667 0.565      0.59       0.585     ]","          0
0  1.000000
1  0.333333
2  0.333333
3  1.000000","          0
0  0.666667
1  0.000000
2  0.666667
3  0.333333",0.4,5,0.2,0.05,0.3
49,"[0.29666667 0.43333333 0.39666667 0.41333333 0.44333333 0.49666667
 0.48333333 0.55       0.52666667 0.49666667 0.57666667 0.56666667]","[0.34333333 0.365      0.38       0.40833333 0.41333333 0.45833333
 0.49       0.48166667 0.47833333 0.56666667 0.57333333 0.55333333]","          0
0  1.000000
1  0.666667
2  0.000000
3  0.666667","          0
0  0.000000
1  0.333333
2  0.333333
3  0.666667",0.5,5,0.2,0.05,0.3
