participant,Intromessage,initials,birthdate,age,sex,gender,ethnicity,race,education,handedness,nativeenglish,secondlang,whatseclang,LangClassification,colorblind,whatcolorblind,outromessage,CollinsNaming,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.b91ba1d0-3501-4fc5-9451-dc23623567ad.txt,30857,7470,6050,3980,1941,277019,2687,5987,9661,3317,3187,2418,"",10653,5474,"",1045,"",11061,2020-06-03-00-24,2020-06-03-00-43,19
s.85d51de6-f2c4-4243-a9f3-4d23e888d5bf.txt,44878,36063,9823,5057,3221,2348,3751,2909,4086,2913,2285,3752,"",29122,2852,"",2454,"",21810,2020-06-03-03-00,2020-06-03-03-20,20
s.8835fdf5-cb90-4302-96b6-a407ef7ac3d8.txt,18791,3184,6481,2775,2847,2272,3425,5409,5035,2012,1777,1979,"",50205,2420,"",2885,"",16297,2020-06-04-20-47,2020-06-04-21-00,13
s.96774f71-cf4f-4cd5-b872-6ba80f0923bc.txt,25700,11769,20452,5419,3747,3033,3907,4909,12025,3556,2706,3189,5729,29558,4652,"",3395,"",41352,2020-06-03-11-00,2020-06-03-11-19,19
s.9f73ee7c-a17c-4140-a657-864dab7667e1.txt,3297,2775,6586,2622,1239,1655,1965,1479,2418,1420,1254,1178,2457,2326,1782,"",999,"",22533,2020-06-03-00-31,2020-06-03-00-39,8
s.72caa466-6d6f-4e05-86db-0ba99bb515c8.txt,8954,4922,5936,3861,2542,1489,1840,2717,7434,2573,1633,1556,"",16091,1729,"",1082,"",14559,2020-06-03-00-02,"",""
s.be6f5619-b18c-4e48-820b-ea81660e0d82.txt,31201,6401,6110,3235,1948,2494,3188,2036,7790,3088,2796,2663,8526,15560,3322,"",1206,"",11986,2020-06-03-14-26,2020-06-03-14-53,27
s.6c28e9e6-a02e-4dbf-a082-c64d0baa4e0d.txt,1172,3545,4081,2162,1968,1904,2580,4061,15672,1955,1666,3025,"",21556,5717,"",1175,"",30567,2020-06-02-23-29,2020-06-02-23-40,11
s.64be0ab1-1fbd-41d1-90e0-cdab48ded2e2.txt,11914,23333,14661,3947,2639,3809,7450,3263,7557,7296,25457,32635,"",19784,3068,"",3349,"",90390,2020-06-04-07-32,2020-06-04-08-34,62
s.5cb30922-a3d1-4f1c-aef5-af5dfc5a0c13.txt,2601,3711,7299,2128,1141,2132,2293,2463,7996,2634,1429,4790,3056,11683,2043,"",2831,"",19196,2020-06-04-02-22,2020-06-04-02-34,12
s.dfd867b3-2ab1-4bf2-a33f-c807ac0df828.txt,38359,3914,10236,3778,2275,2641,3127,1945,6297,3003,2029,2300,"",6047,2065,"",2141,"",34513,2020-06-03-04-18,"",""
s.2bb7cdb0-8caa-4a98-9cb7-738f8c4d0733.txt,16119,2996,5600,2898,2802,2093,2167,2071,4594,2206,2133,2235,"",26593,1697,"",1287,"",40351,2020-06-04-00-18,2020-06-04-00-30,12
